  t						Bx				By				Bz
  4.3720000e+000 -2.7110000e+001 -3.8760000e+001  6.6030000e+001  
  4.3720000e+000 -2.0280000e+001 -3.4580000e+001  5.4720000e+001  
  4.3720000e+000 -1.4280000e+001 -2.4200000e+001  6.5970000e+001  
  4.3720000e+000 -1.0810000e+001 -1.5990000e+001  6.9060000e+001  
  4.3720000e+000 -1.0480000e+001 -1.6950000e+001  6.4410000e+001  
  4.3720000e+000 -1.2010000e+001 -2.3580000e+001  6.1520000e+001  
  4.3720000e+000 -1.7930000e+001 -2.8090000e+001  6.1450000e+001  
  4.3720000e+000 -2.0830000e+001 -2.7880000e+001  6.3920000e+001  
  4.3720000e+000 -1.4010000e+001 -3.4340000e+001  5.5260000e+001  
  4.3720000e+000 -1.3630000e+001 -2.4740000e+001  5.4580000e+001  
  4.3720000e+000 -1.4770000e+001 -2.4870000e+001  5.8740000e+001  
  4.3720000e+000 -1.3410000e+001 -1.7180000e+001  6.2350000e+001  
  4.3720000e+000 -1.3960000e+001 -2.4990000e+001  4.3790000e+001  
  4.3720000e+000 -7.1420000e+000 -4.5070000e+000  3.3480000e+001  
  4.3720000e+000 -9.0030000e-001 -5.0000000e+000  4.4430000e+001  
  4.3720000e+000 -9.9560000e+000 -4.0450000e-001  4.4570000e+001  
  4.3720000e+000 -6.0680000e+000 -4.7530000e+000  2.1060000e+001  
  4.3720000e+000  1.2010000e+000  1.6450000e+000  2.0970000e+001  
  4.3720000e+000 -3.4310000e+000 -3.9410000e+000  4.1450000e+000  
  4.3720000e+000 -8.5260000e-001  1.2290000e+000  4.9890000e+000  
  4.3720000e+000 -9.8350000e-001 -1.5500000e+000  1.2300000e+001  
  4.3720000e+000  1.0990000e+001  1.3170000e+001  2.9700000e+001  
  4.3720000e+000  1.9150000e+001  3.4370000e+001  2.0060000e+001  
  4.3720000e+000  2.4900000e+001  5.0050000e+001  1.9190000e+000  
  4.3720000e+000  2.9230000e+001  4.7120000e+001 -1.0550000e+001  
  4.3720000e+000  3.1520000e+001  4.7780000e+001 -4.2590000e+000  
  4.3720000e+000  3.2340000e+001  4.7060000e+001 -5.4500000e-002  
  4.3720000e+000  3.2210000e+001  4.8390000e+001 -5.7320000e+000  
  4.3720000e+000  3.6130000e+001  5.0490000e+001 -9.0570000e+000  
  4.3720000e+000  4.1220000e+001  4.9980000e+001  1.4630000e+000  
