  t		  Vx 		  Vy		  Vz		  N		  T
  4.3720000e+000 -1.4330000e+002 -3.0410000e+001 -7.6610000e+001  3.3210000e+000  7.3020000e+000
  4.3720000e+000 -1.1460000e+002 -1.5640000e+002  4.0030000e+001  8.6440000e+000  5.9220000e+000
  4.3720000e+000 -1.6130000e+002 -1.9600000e+002  7.7470000e+001  7.1100000e+000  6.0530000e+000
  4.3720000e+000 -1.5670000e+002 -2.6220000e+002  2.8010000e+001  5.6580000e+000  5.9610000e+000
  4.3720000e+000 -1.5030000e+002 -2.2100000e+002  1.7120000e+001  7.4120000e+000  5.8950000e+000
  4.3720000e+000 -1.0890000e+002 -1.8770000e+002  1.9640000e+001  5.3830000e+000  6.3590000e+000
  4.3720000e+000 -1.1980000e+002 -2.2300000e+002  2.8270000e+001  5.6820000e+000  5.5190000e+000
  4.3720000e+000 -1.2670000e+002 -2.1010000e+002 -7.2940000e+000  5.1690000e+000  6.0060000e+000
  4.3720000e+000 -1.2170000e+002 -1.7900000e+002  3.2960000e+001  9.0820000e+000  5.3070000e+000
  4.3720000e+000 -1.1130000e+002 -2.1110000e+002  5.7320000e+001  1.2180000e+001  5.0970000e+000
  4.3720000e+000 -1.0210000e+002 -2.1280000e+002  4.0810000e+001  9.2160000e+000  5.0120000e+000
  4.3720000e+000 -1.1130000e+002 -1.9580000e+002  3.4070000e+001  9.9170000e+000  5.4120000e+000
  4.3720000e+000 -1.3510000e+002 -2.2870000e+002  5.3880000e+001  1.8080000e+001  5.0510000e+000
  4.3720000e+000 -1.2840000e+002 -2.5240000e+002  5.4320000e+001  2.0390000e+001  5.0480000e+000
  4.3720000e+000 -8.1600000e+001 -2.3680000e+002  5.0770000e+001  1.5000000e+001  5.2180000e+000
  4.3720000e+000 -1.3920000e+002 -2.2770000e+002  7.7400000e+001  2.0190000e+001  5.0320000e+000
  4.3720000e+000 -1.4270000e+002 -2.4060000e+002  5.7030000e+001  2.3530000e+001  5.3310000e+000
  4.3720000e+000 -1.3150000e+002 -2.2550000e+002  7.9560000e+001  2.4310000e+001  5.3270000e+000
  4.3720000e+000 -1.1690000e+002 -2.1720000e+002  7.9270000e+001  2.5910000e+001  5.3040000e+000
  4.3720000e+000 -1.1210000e+002 -2.1050000e+002  9.3160000e+001  2.6170000e+001  5.1660000e+000
  4.3720000e+000 -9.8320000e+001 -2.1230000e+002  9.2100000e+001  2.4490000e+001  4.9940000e+000
  4.3720000e+000 -8.9990000e+001 -1.8560000e+002  1.0400000e+002  2.2200000e+001  4.7250000e+000
  4.3720000e+000 -8.2650000e+001 -1.6840000e+002  1.2130000e+002  2.2860000e+001  4.2690000e+000
  4.3720000e+000 -8.1990000e+001 -1.2900000e+002  8.7870000e+001  1.7560000e+001  4.4950000e+000
  4.3720000e+000 -9.2960000e+001 -1.2340000e+002  5.2890000e+001  1.7860000e+001  4.5540000e+000
  4.3720000e+000 -8.4290000e+001 -1.1990000e+002  3.6110000e+001  1.7950000e+001  4.8430000e+000
  4.3720000e+000 -8.4610000e+001 -1.1640000e+002  5.5380000e+001  1.9270000e+001  4.5960000e+000
  4.3720000e+000 -7.4280000e+001 -1.1700000e+002  7.6910000e+001  1.8610000e+001  4.5610000e+000
  4.3720000e+000 -7.2440000e+001 -1.1920000e+002  8.6280000e+001  1.5420000e+001  4.5280000e+000
  4.3720000e+000 -5.8970000e+001 -1.4300000e+002  6.7340000e+001  1.4220000e+001  4.6380000e+000
